citation_id,document_id
cde758fb-439b-44c4-bebe-c64bb1005f78,e4989ef1-a613-423e-a4e9-e72b562a0519
cde758fb-439b-44c4-bebe-c64bb1005f78,56dc0ecb-c118-412f-b60f-918931782675
30fec4a7-a8f4-427c-bfd7-b75b501cf273,85099669-b144-4b5b-84cc-5008f32a944d
30fec4a7-a8f4-427c-bfd7-b75b501cf273,0b2d69d8-0d7a-4953-98f8-278a4196cfc2
30fec4a7-a8f4-427c-bfd7-b75b501cf273,df4f2161-6bd1-4969-953f-3fdd9fdd5f6d
30fec4a7-a8f4-427c-bfd7-b75b501cf273,7741bdff-f873-4b97-ae8d-be3b455f50f9
6d99377a-a9fa-4726-96cd-35ef2956e855,df6f7a11-999b-4fb1-821e-27c40fc3402f
6d99377a-a9fa-4726-96cd-35ef2956e855,c252679e-cdff-419c-9578-13a2dba00909
6d99377a-a9fa-4726-96cd-35ef2956e855,66eef4d7-80cd-4f27-804b-cf3d736180eb
c1b5ac8f-9dc2-48dd-9142-0819ad208579,f91de3c0-ec90-4416-a246-bfcb474d5620
c1b5ac8f-9dc2-48dd-9142-0819ad208579,0b2d69d8-0d7a-4953-98f8-278a4196cfc2
cdf5f5f2-5af2-4bfa-8287-e3e0ce6b97e7,f91de3c0-ec90-4416-a246-bfcb474d5620
cdf5f5f2-5af2-4bfa-8287-e3e0ce6b97e7,0b2d69d8-0d7a-4953-98f8-278a4196cfc2
f04140a2-02f9-4dd3-8aaa-6d84f101bcf1,1ec17f75-d89b-4b80-a854-6f4a19424975
f04140a2-02f9-4dd3-8aaa-6d84f101bcf1,829e7ee8-64a6-4090-a26e-27503dd6c31b
f04140a2-02f9-4dd3-8aaa-6d84f101bcf1,7760cb46-3360-4a8f-8154-2bf7fb5f277a
cf41a6fa-c21c-44b5-b294-d47c1dcbb659,829e7ee8-64a6-4090-a26e-27503dd6c31b
cf41a6fa-c21c-44b5-b294-d47c1dcbb659,1cb309e3-8ff9-4e78-976a-b4d870d88890
4080c76f-8162-43e4-84a7-b5dc18cdb8d8,ba997670-a1b6-4eba-970d-17964ac1cc76
dc398c74-7525-4243-bbc2-ae8fd8dc9c33,7741bdff-f873-4b97-ae8d-be3b455f50f9
f06ba102-4074-4f44-a493-4b42c3860261,85099669-b144-4b5b-84cc-5008f32a944d
f06ba102-4074-4f44-a493-4b42c3860261,df4f2161-6bd1-4969-953f-3fdd9fdd5f6d
f06ba102-4074-4f44-a493-4b42c3860261,7741bdff-f873-4b97-ae8d-be3b455f50f9
4b9fda07-8d2f-407f-84df-d816cbd88b9f,f91de3c0-ec90-4416-a246-bfcb474d5620
4b9fda07-8d2f-407f-84df-d816cbd88b9f,c252679e-cdff-419c-9578-13a2dba00909
62416b12-ab52-4217-a61f-43beab4345f1,66eef4d7-80cd-4f27-804b-cf3d736180eb
e1bfee06-1712-4256-afb0-3da1448abc9f,0b2d69d8-0d7a-4953-98f8-278a4196cfc2
277b73e0-3b31-449a-8119-d226867a5446,e4989ef1-a613-423e-a4e9-e72b562a0519
fbc52b6d-d30e-4226-9018-f91fcc9cdeef,0b2d69d8-0d7a-4953-98f8-278a4196cfc2
fbc52b6d-d30e-4226-9018-f91fcc9cdeef,df4f2161-6bd1-4969-953f-3fdd9fdd5f6d
fb030909-524e-42ec-996b-1576fcf2f002,4e1170fa-10aa-4dad-9cd9-7be95e004d5b
fb030909-524e-42ec-996b-1576fcf2f002,85099669-b144-4b5b-84cc-5008f32a944d
fb030909-524e-42ec-996b-1576fcf2f002,0b2d69d8-0d7a-4953-98f8-278a4196cfc2
b38d864f-6b50-424b-b832-37522c2c702d,0b2d69d8-0d7a-4953-98f8-278a4196cfc2
e3a0e853-8a42-47e5-8d16-a42b43fdea06,df4f2161-6bd1-4969-953f-3fdd9fdd5f6d
fcf5f2b8-7e7e-455a-9614-7b757164c62c,85099669-b144-4b5b-84cc-5008f32a944d
e3a5a8f4-475d-4169-af15-09fc2994e052,f91de3c0-ec90-4416-a246-bfcb474d5620
e3a5a8f4-475d-4169-af15-09fc2994e052,0b2d69d8-0d7a-4953-98f8-278a4196cfc2
53210410-db86-4e60-ba82-9414b5a92fe9,c252679e-cdff-419c-9578-13a2dba00909
53210410-db86-4e60-ba82-9414b5a92fe9,66eef4d7-80cd-4f27-804b-cf3d736180eb
e7991155-ba49-4d01-94f2-905ac8a767dd,df4f2161-6bd1-4969-953f-3fdd9fdd5f6d
bc002501-e109-475f-8261-a2579088fedb,7741bdff-f873-4b97-ae8d-be3b455f50f9
d42ab434-85a8-4d97-8caa-b2fa574c6e9c,c252679e-cdff-419c-9578-13a2dba00909
d42ab434-85a8-4d97-8caa-b2fa574c6e9c,66eef4d7-80cd-4f27-804b-cf3d736180eb
d60400c4-5e3e-4c41-bac3-5415d65f93ff,85099669-b144-4b5b-84cc-5008f32a944d
d60400c4-5e3e-4c41-bac3-5415d65f93ff,e4989ef1-a613-423e-a4e9-e72b562a0519
fc960301-d2bb-4d92-b709-ded96e9c626e,85099669-b144-4b5b-84cc-5008f32a944d
fc960301-d2bb-4d92-b709-ded96e9c626e,c252679e-cdff-419c-9578-13a2dba00909
fc960301-d2bb-4d92-b709-ded96e9c626e,66eef4d7-80cd-4f27-804b-cf3d736180eb
fef06d07-def1-4692-b94a-213c10875f96,e4989ef1-a613-423e-a4e9-e72b562a0519
ea777d1f-210b-4ea2-b26b-a07304b55908,0b2d69d8-0d7a-4953-98f8-278a4196cfc2
ea777d1f-210b-4ea2-b26b-a07304b55908,e4989ef1-a613-423e-a4e9-e72b562a0519
ea777d1f-210b-4ea2-b26b-a07304b55908,85099669-b144-4b5b-84cc-5008f32a944d
